0,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,1.0,5e-05,1.0,0.0,1.0,0.92,1.0,1.0,0.04,0.003,1.0
2,1.0,1.0,5e-05,1.0,0.05,1.0,0.92,1.0,1.0,0.04,0.003,1.0
3,1.0,1.0,5e-05,1.0,0.11,1.0,0.92,1.0,1.0,0.04,0.003,1.0
4,1.0,1.0,5e-05,1.0,0.16,1.0,0.92,1.0,1.0,0.04,0.003,1.0
5,1.0,1.0,5e-05,1.0,0.21,1.0,0.92,1.0,1.0,0.04,0.003,1.0
6,1.0,1.0,5e-05,1.0,0.26,1.0,0.92,1.0,1.0,0.04,0.003,1.0
7,1.0,1.0,5e-05,1.0,0.32,1.0,0.92,1.0,1.0,0.04,0.003,1.0
8,1.0,1.0,5e-05,1.0,0.37,1.0,0.92,1.0,1.0,0.04,0.003,1.0
9,1.0,1.0,5e-05,1.0,0.42,1.0,0.92,1.0,1.0,0.04,0.003,1.0
10,1.0,1.0,5e-05,1.0,0.47,1.0,0.92,1.0,1.0,0.04,0.003,1.0
11,1.0,1.0,5e-05,1.0,0.53,1.0,0.92,1.0,1.0,0.04,0.003,1.0
12,1.0,1.0,5e-05,1.0,0.58,1.0,0.92,1.0,1.0,0.04,0.003,1.0
13,1.0,1.0,5e-05,1.0,0.63,1.0,0.92,1.0,1.0,0.04,0.003,1.0
14,1.0,1.0,5e-05,1.0,0.68,1.0,0.92,1.0,1.0,0.04,0.003,1.0
15,1.0,1.0,5e-05,1.0,0.74,1.0,0.92,1.0,1.0,0.04,0.003,1.0
16,1.0,1.0,5e-05,1.0,0.79,1.0,0.92,1.0,1.0,0.04,0.003,1.0
17,1.0,1.0,5e-05,1.0,0.84,1.0,0.92,1.0,1.0,0.04,0.003,1.0
18,1.0,1.0,5e-05,1.0,0.89,1.0,0.92,1.0,1.0,0.04,0.003,1.0
19,1.0,1.0,5e-05,1.0,0.95,1.0,0.92,1.0,1.0,0.04,0.003,1.0
20,1.0,1.0,5e-05,1.0,1.0,1.0,0.92,1.0,1.0,0.04,0.003,1.0
21,1.0,1.0,5e-05,1.0,0.25,0.0,0.92,1.0,1.0,0.04,0.003,1.0
22,1.0,1.0,5e-05,1.0,0.25,0.05,0.92,1.0,1.0,0.04,0.003,1.0
23,1.0,1.0,5e-05,1.0,0.25,0.11,0.92,1.0,1.0,0.04,0.003,1.0
24,1.0,1.0,5e-05,1.0,0.25,0.16,0.92,1.0,1.0,0.04,0.003,1.0
